,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,kommunenummer,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Ny Kongensgade 14, 3. 1 1472 København K ",3750000.0,2021-03-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/402886/0905F2FF-3B62-4BF8-A84E-BC2855B4B29E,https://www.boliga.dk//bbrinfo/0905f2ff-3b62-4bf8-a84e-bc2855b4b29e,"(55.67371965, 12.57592427)","Ny Kongensgade 14, 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,59, 1,59,Vandskyllende toilet i enheden,2, 1,-
1," Ny Kongensgade 14, 3. 1 1472 København K ",2700000.0,2017-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/402886/0905F2FF-3B62-4BF8-A84E-BC2855B4B29E,https://www.boliga.dk//bbrinfo/0905f2ff-3b62-4bf8-a84e-bc2855b4b29e,"(55.67371965, 12.57592427)","Ny Kongensgade 14, 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,59, 1,59,Vandskyllende toilet i enheden,2, 1,-
2," Ny Kongensgade 14, 3. 1 1472 København K ",1985000.0,2014-04-10, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/402886/0905F2FF-3B62-4BF8-A84E-BC2855B4B29E,https://www.boliga.dk//bbrinfo/0905f2ff-3b62-4bf8-a84e-bc2855b4b29e,"(55.67371965, 12.57592427)","Ny Kongensgade 14, 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,59, 1,59,Vandskyllende toilet i enheden,2, 1,-
4," Stormgade 10C, 3 1470 København K ",14000000.0,2021-06-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/19212/6487EB67-83D7-4536-9746-E8F0AC96856F,https://www.boliga.dk//bbrinfo/6487eb67-83d7-4536-9746-e8f0ac96856f,"(55.67511666, 12.57421131)","Stormgade 10C, 1., 1470 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,291, 2,291,Vandskyllende toilet i enheden,4, 2,-
5," Ny Kongensgade 14, 1. 3 1472 København K ",4100000.0,2021-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/402673/7586F3EA-89A8-4047-8064-C759D8D69C51,https://www.boliga.dk//bbrinfo/7586f3ea-89a8-4047-8064-c759d8d69c51,"(55.67371965, 12.57592427)","Ny Kongensgade 14, 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,60, 1,60,Vandskyllende toilet i enheden,2, 1,-
6," Ny Kongensgade 14, 1. 3 1472 København K ",2650000.0,2018-11-10, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/402673/7586F3EA-89A8-4047-8064-C759D8D69C51,https://www.boliga.dk//bbrinfo/7586f3ea-89a8-4047-8064-c759d8d69c51,"(55.67371965, 12.57592427)","Ny Kongensgade 14, 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,60, 1,60,Vandskyllende toilet i enheden,2, 1,-
10," Ny Kongensgade 14, 4. 3 1472 København K ",3100000.0,2021-08-06, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/402894/28637F29-3379-4A8E-A05C-FEC07AF111EE,https://www.boliga.dk//bbrinfo/28637f29-3379-4a8e-a05c-fec07af111ee,"(55.67371965, 12.57592427)","Ny Kongensgade 14, 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,60, 1,60,Vandskyllende toilet i enheden,1, 1,-
13," Ny Kongensgade 7, 3. tv 1472 København K ",5250000.0,2021-01-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/767353/FF8BFD0C-5B1F-4BA4-98A7-134343870E7B,https://www.boliga.dk//bbrinfo/ff8bfd0c-5b1f-4ba4-98a7-134343870e7b,"(55.67377616, 12.57667505)","Ny Kongensgade 7, st., 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,103, 1,103,Vandskyllende toilet i enheden,3, 1,-
14," Ny Kongensgade 7, 3. tv 1472 København K ",4750000.0,2019-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/767353/FF8BFD0C-5B1F-4BA4-98A7-134343870E7B,https://www.boliga.dk//bbrinfo/ff8bfd0c-5b1f-4ba4-98a7-134343870e7b,"(55.67377616, 12.57667505)","Ny Kongensgade 7, st., 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,103, 1,103,Vandskyllende toilet i enheden,3, 1,-
15," Ny Kongensgade 7, 3. tv 1472 København K ",2000000.0,2015-07-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/767353/FF8BFD0C-5B1F-4BA4-98A7-134343870E7B,https://www.boliga.dk//bbrinfo/ff8bfd0c-5b1f-4ba4-98a7-134343870e7b,"(55.67377616, 12.57667505)","Ny Kongensgade 7, st., 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,103, 1,103,Vandskyllende toilet i enheden,3, 1,-
16," Ny Kongensgade 7, 3. tv 1472 København K ",2232659.0,2012-02-06, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/767353/FF8BFD0C-5B1F-4BA4-98A7-134343870E7B,https://www.boliga.dk//bbrinfo/ff8bfd0c-5b1f-4ba4-98a7-134343870e7b,"(55.67377616, 12.57667505)","Ny Kongensgade 7, st., 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,103, 1,103,Vandskyllende toilet i enheden,3, 1,-
17," Ny Kongensgade 7, 3. tv 1472 København K ",2232659.0,2010-06-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/767353/FF8BFD0C-5B1F-4BA4-98A7-134343870E7B,https://www.boliga.dk//bbrinfo/ff8bfd0c-5b1f-4ba4-98a7-134343870e7b,"(55.67377616, 12.57667505)","Ny Kongensgade 7, st., 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,103, 1,103,Vandskyllende toilet i enheden,3, 1,-
25," Stormgade 10C, st 1470 København K ",10500000.0,2021-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/19203/F9DCA7B3-1A0C-4903-9A14-45F905A40B14,https://www.boliga.dk//bbrinfo/f9dca7b3-1a0c-4903-9a14-45f905a40b14,"(55.67511666, 12.57421131)","Stormgade 10C, 1., 1470 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,224, 2,224,Vandskyllende toilet i enheden,4, 2,-
26," Stormgade 10A, 2 1470 København K ",23085000.0,2021-02-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/19208/6A26CA48-D129-47BD-B626-F468F24ACF27,https://www.boliga.dk//bbrinfo/6a26ca48-d129-47bd-b626-f468f24acf27,"(55.67537191, 12.57423064)","Stormgade 10A, 1., 1470 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,220, 1,220,Vandskyllende toilet i enheden,3, 1,-
27," Ny Kongensgade 14, 4. 4 1472 København K ",3495000.0,2020-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/402916/8D2B8C8C-8F8B-41B3-A1C5-1DAD43430725,https://www.boliga.dk//bbrinfo/8d2b8c8c-8f8b-41b3-a1c5-1dad43430725,"(55.67371965, 12.57592427)","Ny Kongensgade 14, 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,59, 1,59,Vandskyllende toilet i enheden,2, 1,-
28," Ny Kongensgade 14, 4. 4 1472 København K ",1550000.0,2008-02-05, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/402916/8D2B8C8C-8F8B-41B3-A1C5-1DAD43430725,https://www.boliga.dk//bbrinfo/8d2b8c8c-8f8b-41b3-a1c5-1dad43430725,"(55.67371965, 12.57592427)","Ny Kongensgade 14, 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,59, 1,59,Vandskyllende toilet i enheden,2, 1,-
31," Ny Kongensgade 7, 1. th 1472 København K ",3995000.0,2020-04-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/767329/556FA0F1-05A0-4FD2-AE9D-26B59E6BFC0A,https://www.boliga.dk//bbrinfo/556fa0f1-05a0-4fd2-ae9d-26b59e6bfc0a,"(55.67377616, 12.57667505)","Ny Kongensgade 7, st., 1472 København K",0101,Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,91, 1,91,Vandskyllende toilet i enheden,2, 1,-
