,Adresse,Købesum,Salgsdato,Salgstype,href,hrefbbr,geo_code,geo_location_raw,boligtype,køkkenforhold,anvendelse,badeforhold,enhedsareal,antal_badeværelser,beboelsesareal,toiletforhold,værelser,antal_toiletter,energikode
0," Hvalsøvej 42B, 1. tv 2700 Brønshøj ",529052.0,2022-02-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/246612/E708DD48-1B28-459E-9F21-067A12D606A7,https://www.boliga.dk//bbrinfo/e708dd48-1b28-459e-9f21-067a12d606a7,"(55.70358508, 12.48851467)","Hvalsøvej 42B, kl., 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,58, 1,58,Vandskyllende toilet i enheden,2, 1,-
1," Hvalsøvej 42B, 1. tv 2700 Brønshøj ",1525000.0,2019-11-05, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/246612/E708DD48-1B28-459E-9F21-067A12D606A7,https://www.boliga.dk//bbrinfo/e708dd48-1b28-459e-9f21-067a12d606a7,"(55.70358508, 12.48851467)","Hvalsøvej 42B, kl., 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,58, 1,58,Vandskyllende toilet i enheden,2, 1,-
2," Hvalsøvej 42B, 1. tv 2700 Brønshøj ",1298000.0,2016-09-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/246612/E708DD48-1B28-459E-9F21-067A12D606A7,https://www.boliga.dk//bbrinfo/e708dd48-1b28-459e-9f21-067a12d606a7,"(55.70358508, 12.48851467)","Hvalsøvej 42B, kl., 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,58, 1,58,Vandskyllende toilet i enheden,2, 1,-
9," Højenhald 10, st. th 2700 Brønshøj ",524077.0,2022-02-01, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/256324/36EBE406-CB7F-4906-A2E0-CD0963A5AE2E,https://www.boliga.dk//bbrinfo/36ebe406-cb7f-4906-a2e0-cd0963a5ae2e,"(55.70497309, 12.50770778)","Højenhald 10, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,48, 0,48,Vandskyllende toilet i enheden,2, 1,-
10," Højenhald 10, st. th 2700 Brønshøj ",1495000.0,2017-07-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/256324/36EBE406-CB7F-4906-A2E0-CD0963A5AE2E,https://www.boliga.dk//bbrinfo/36ebe406-cb7f-4906-a2e0-cd0963a5ae2e,"(55.70497309, 12.50770778)","Højenhald 10, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,48, 0,48,Vandskyllende toilet i enheden,2, 1,-
11," Højenhald 10, st. th 2700 Brønshøj ",999000.0,2015-05-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/256324/36EBE406-CB7F-4906-A2E0-CD0963A5AE2E,https://www.boliga.dk//bbrinfo/36ebe406-cb7f-4906-a2e0-cd0963a5ae2e,"(55.70497309, 12.50770778)","Højenhald 10, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,48, 0,48,Vandskyllende toilet i enheden,2, 1,-
12," Højenhald 10, st. th 2700 Brønshøj ",990000.0,2008-07-02, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/256324/36EBE406-CB7F-4906-A2E0-CD0963A5AE2E,https://www.boliga.dk//bbrinfo/36ebe406-cb7f-4906-a2e0-cd0963a5ae2e,"(55.70497309, 12.50770778)","Højenhald 10, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,48, 0,48,Vandskyllende toilet i enheden,2, 1,-
13," Højenhald 10, st. th 2700 Brønshøj ",841500.0,2007-08-20, Handelstype Familieoverdragelse,https://www.boliga.dk//salg/info/101/256324/36EBE406-CB7F-4906-A2E0-CD0963A5AE2E,https://www.boliga.dk//bbrinfo/36ebe406-cb7f-4906-a2e0-cd0963a5ae2e,"(55.70497309, 12.50770778)","Højenhald 10, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Hverken badeværelse eller adgang til badeværelse,48, 0,48,Vandskyllende toilet i enheden,2, 1,-
17," Åfløjen 36, 1. th 2700 Brønshøj ",2250000.0,2022-04-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/677362/8162C9E3-C94B-4405-B18E-851E97C6AF70,https://www.boliga.dk//bbrinfo/8162c9e3-c94b-4405-b18e-851e97c6af70,"(55.71565502, 12.45968317)","Åfløjen 36, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,87, 1,87,Vandskyllende toilet i enheden,4, 1,-
19," Frederikssundsvej 390, 1. th 2700 Brønshøj ",2170000.0,2022-03-30, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/163407/841FFC19-7B3C-4789-AA52-8459DB522E60,https://www.boliga.dk//bbrinfo/841ffc19-7b3c-4789-aa52-8459db522e60,"(55.71577492, 12.46164176)","Frederikssundsvej 390, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,70, 1,70,Vandskyllende toilet i enheden,3, 1,-
20," Frederikssundsvej 390, 1. th 2700 Brønshøj ",1820000.0,2017-07-06, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/163407/841FFC19-7B3C-4789-AA52-8459DB522E60,https://www.boliga.dk//bbrinfo/841ffc19-7b3c-4789-aa52-8459db522e60,"(55.71577492, 12.46164176)","Frederikssundsvej 390, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,70, 1,70,Vandskyllende toilet i enheden,3, 1,-
21," Frederikssundsvej 390, 1. th 2700 Brønshøj ",1540000.0,2015-03-02, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/163407/841FFC19-7B3C-4789-AA52-8459DB522E60,https://www.boliga.dk//bbrinfo/841ffc19-7b3c-4789-aa52-8459db522e60,"(55.71577492, 12.46164176)","Frederikssundsvej 390, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,70, 1,70,Vandskyllende toilet i enheden,3, 1,-
22," Frederikssundsvej 390, 1. th 2700 Brønshøj ",1400000.0,2008-01-01, Handelstype Alm. frit salg,https://www.boliga.dk//salg/info/101/163407/841FFC19-7B3C-4789-AA52-8459DB522E60,https://www.boliga.dk//bbrinfo/841ffc19-7b3c-4789-aa52-8459db522e60,"(55.71577492, 12.46164176)","Frederikssundsvej 390, 1. th, 2700 Brønshøj",Egentlig beboelseslejlighed,Eget køkken med afløb,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",Badeværelse i enheden,70, 1,70,Vandskyllende toilet i enheden,3, 1,-
